Номенклатура,RMSE,MAE,MAPE,wMAPE,R2
"(Х5) Абрикосовый аромат 0,4кг",0.23067612727485398,0.4345046882860497,32.295641796589756,32.14144269513245,0.12981683423871382
"(Х5) Бисквитное со сливоч. кремом в уп. 0,225",0.6757954361101888,0.5912432959245332,38.538150119688865,40.542397434825126,-0.08428459944141697
"(Х5) Воздушный полет 0,75",0.6269376938022133,0.5025366436400797,30.946524316707524,36.337265001667305,0.05273230806491869
"(Х5) Волшебный подарок 0,5",0.3228916127547351,0.4498519443904152,30.88856963933335,33.050346934806015,0.12637258845482924
"(Х5) Добрынинская сказка 0,5",1.0504276829677202,0.7261567526621258,42.2716036404848,41.24570355120875,0.030537175056705168
"(Х5) Картошка глазированная в уп. 0,24",1.6193384522800787,0.9242384324659725,45.74601540244045,41.754934258615,0.06984917472730201
"(Х5) Киевский 0,4",0.6140683830382924,0.5585515223770408,35.18984894862198,38.726238884808154,-0.0358333797476873
(Х5) Корзин.с белк. кремом в уп. 0.3,1.933924532659397,0.7304633647409133,34.84895016352544,44.27050695399475,0.030209177103520002
"(Х5) Ленинградский 0,4кг",0.45305458883547145,0.5227152899289502,34.71954073335062,37.41541022649328,-0.017447507904429393
(Х5) Трюфель 0.5,0.4897553325240149,0.5188899599490461,34.56776852740341,37.22471451808374,0.09602786929042006
"(Х5) Эклер 0,14",1.769634503397716,0.9406324924716084,47.8480235963839,48.536636611534995,-0.021382067530570037
"(не_исп)Белая ночь 0,5",0.0360628331616951,0.09370613163672147,7.856966243182032,9.086655189015415,-0.1912368115347025
(не_исп)Бисквитно-кремовый 1.5кг,0.7393043090581801,0.4296024037584805,28.42315736154565,32.94782662971544,0.08980288372132128
"(не_исп)Ватрушка сл. «Добрынинская» c курагой 0,1",7.453237982238696,2.0187582323714173,70.17461894420379,46.300693861875644,0.21458023717312025
"(не_исп)Ватрушка сл. «Добрынинская» с капустой 0,1",12.504978838855523,2.470604632970647,59.8981113724428,40.668780966787445,0.30812368250027045
"(не_исп)Ватрушка сл. «Добрынинская» с твор. и вишн. нач. 0,1",53.239001799727944,5.2143291393718,40.524854923669,28.69873129477554,0.5159976459746907
"(не_исп)Ватрушка сл. «Добрынинская» с твор. нач. и лим. 0,1",17.390583938529872,3.132293636119755,66.95866229258745,41.45817638436689,0.28822742064052
"(не_исп)Ватрушка сл. «Добрынинская» три сыра со шпинатом 0,1",11.140944649312015,2.4680889445987684,65.51393951623558,42.02722066938549,0.22136421591256528
(не_исп)Восторг 1.0,1.0438735038672242,0.6984945753251883,40.29845231270283,42.05406616298937,0.06530020367066247
"(не_исп)Грушевый 0,6",0.411159788025726,0.4132874779422544,28.588993486108897,32.28415861129464,0.10320676179541721
"(не_исп)Зимний лес 0,9",3.7334144733499453,1.6687688322000567,66.35931282350387,60.68250298909297,-0.17126728575684558
"(не_исп)Кекс Кулич ""Добрынинский"" творожный 0,33",131.2479430652732,8.101768919186378,57.302521746406164,38.319177320476115,0.6689070629016483
"(не_исп)Кекс Кулич Добрынинский 0,45 кг",584.0795557497136,10.312171449019683,62.837134981380416,66.74544627197206,0.026286588258326193
"(не_исп)Кекс Кулич Добрынинский творожный 0,33 кг",494.04181170008445,8.967772081342625,58.82597926989701,63.779413509548846,0.3618999165727027
"(не_исп)Кекс Кулич Пасхальный ""Добрынинский"" 0,4",117.66848771957015,5.842446787652503,79.98282787832225,57.51631552611273,0.5093408636915839
"(не_исп)Кекс Кулич Пасхальный Добрынинский 0,4 кг",24.954629239145945,4.299461662745806,99.5146825601517,57.32615550327741,-0.330913559421117
"(не_исп)Корз. мини с варен. сгущ. и минд. лепест в уп. 0,140",0.9325066712770822,0.7037066065737303,42.02250996003679,43.01073328481944,-0.011945746800978041
"(не_исп)Креп де Пари шоколадный 1,0",0.37499478303551237,0.4516566990330922,30.619450471340286,33.73132309234486,0.08652425490089688
"(не_исп)Мадонна 0,5",0.14405850107976056,0.2639469822407425,19.878050705911974,22.79542119351867,0.14277276555285345
"(не_исп)Мусс тропический 1,0",0.6226079993991696,0.4562581332352912,29.384118394376955,34.152655587203085,0.07926622780431503
"(не_исп)Ночные грёзы 0,9",0.7468566668607753,0.5722899952002685,36.74579326413372,38.74615226763299,0.08251218756054979
"(не_исп)Пирожное Сочинское 0,22",0.36217970238403085,0.45600290139447963,30.09827886735304,33.749367278348494,0.008397276226491113
(не_исп)Пражский 1.0,0.7036639051274258,0.5478886991985084,33.31649490013132,37.47054896817385,0.06523596993344494
"(не_исп)Рулет с клубничным джемом 0,5",0.0948686011813686,0.2148173914664674,18.081691265704038,19.97046101572687,-0.1747025598525107
"(не_исп)Сосиска в сл. тесте ""Добрынинская"" 0,1",19.37998518174415,3.072355389428772,68.26897918349364,43.56210337482632,0.25220646193738017
"(не_исп)Сосиска в тесте ""Добрынинская"" 0,11",22.935531972754443,3.5169813494179407,46.471797726080545,33.942119799310724,0.40372853478545634
"(не_исп)Сочник с творожной начинкой 0,08",72.65945151334702,6.456701331995715,41.043674219205165,28.41973364733742,0.5149145463797682
"(не_исп)Шоколадно- кофейный 1,1",0.12043410246156439,0.22063530786239555,17.416679074780475,20.022973025662484,-0.029327389589147046
"(не_исп.)Кекс Кулич ""Добрынинский"" 0,45",104.25844332025176,5.392492642084422,77.42561327246185,55.987628524373775,0.4288725639057529
"ALPEN MILK молочный шоколад, 100г",4.315080032921945,0.7887371516976149,29.65920839822207,47.32422910185689,-0.021992639376250178
"ALPINE MILK CHOCOLATE WITH HAZELNUTS молочный шоколад с обжаренным фундуком, 100г",0.16485617660685234,0.2521226739744373,18.108586424774835,21.85063174445123,0.0914991136991945
"Amidis, ""Тропический микс"", манго, папайя, ананас, 113 г.",0.7169145315311649,0.5312479667524155,29.7325342417659,37.300389154956825,-0.07241747917230579
"Amidis, Ананас сушеный (кольца), 113 г.",0.4072977852064894,0.3502831806069247,22.705560168872577,28.460508424312636,-0.03664647138398647
"Amidis, Кешью жареный, 113 г.",0.23756312825563602,0.24813391303413945,16.0221522347231,21.42974703476659,0.0027873337176209656
"Amidis, Кешью, 113 г.",0.3486656742740666,0.37133995047452284,24.63145018268687,30.17137097605498,-0.05222319557709354
