Номенклатура,RMSE,MAE,MAPE,wMAPE,R2
"(Х5) Абрикосовый аромат 0,4кг",0.23017169947899493,0.4284713006297038,30.98084095995174,31.695137306854797,0.13171969510899195
"(Х5) Бисквитное со сливоч. кремом в уп. 0,225",0.6672510127322914,0.5737923819288148,36.29880662381269,39.345763332261576,-0.07057544104122493
"(Х5) Воздушный полет 0,75",0.6208091083807469,0.48241855447304277,29.159501841710266,34.88257240035848,0.06199225689940524
"(Х5) Волшебный подарок 0,5",0.3185760263322256,0.4543495089275163,31.811376989176242,33.38078024773589,0.13804899764809098
"(Х5) Добрынинская сказка 0,5",1.0240858176050656,0.7112915895789073,41.573339271914655,40.401362288081934,0.054848662294556205
"(Х5) Картошка глазированная в уп. 0,24",1.5701602852838823,0.9022527933107553,43.786037429832916,40.761674418607726,0.09809719943918538
"(Х5) Киевский 0,4",0.6129232956795735,0.5464860719311314,33.723100475725495,37.88970098722511,-0.03390180381632368
(Х5) Корзин.с белк. кремом в уп. 0.3,1.8678320180928756,0.7422684152092471,36.964573228703976,44.98596455813619,0.06335210124887136
"(Х5) Ленинградский 0,4кг",0.4376334296125416,0.5315134798964042,36.2218698382251,38.04517540311104,0.017184566037691806
(Х5) Трюфель 0.5,0.46759400716182803,0.5126948481411667,34.29788678223316,36.78028258404022,0.1369324172894394
"(Х5) Эклер 0,14",1.7030009894221851,0.9262663888114165,47.00059810542669,47.79534566266909,0.017076877602157925
"(не_исп)Белая ночь 0,5",0.03389382910552163,0.08362579940407952,6.860785023672472,8.109168427062256,-0.11958970980819839
(не_исп)Бисквитно-кремовый 1.5кг,0.7312426407185078,0.4051935071926325,25.774984635171727,31.075816405288613,0.09972803522559515
"(не_исп)Ватрушка сл. «Добрынинская» c курагой 0,1",7.055966503550035,1.9306252554016585,63.756658045585176,44.27934335026977,0.256444574701735
"(не_исп)Ватрушка сл. «Добрынинская» с капустой 0,1",11.551444747732123,2.34829025922195,55.30124771818991,38.655356233144666,0.36088088137908825
"(не_исп)Ватрушка сл. «Добрынинская» с твор. и вишн. нач. 0,1",39.07379822092206,4.455722337700905,33.21306447139366,24.523495674308947,0.6447752647433586
"(не_исп)Ватрушка сл. «Добрынинская» с твор. нач. и лим. 0,1",15.69025921119404,2.957297428694767,61.53780862369077,39.141974751684764,0.3578193631079124
"(не_исп)Ватрушка сл. «Добрынинская» три сыра со шпинатом 0,1",9.892385144968852,2.3586855371961226,62.575223521032065,40.16427275782182,0.308625497540429
(не_исп)Восторг 1.0,1.0071043858375328,0.6907891921855692,40.166260759556785,41.59015033055236,0.09822381654735579
"(не_исп)Грушевый 0,6",0.4069209779460995,0.38417161036046593,25.336288198005143,30.009758012960408,0.11245216061152086
"(не_исп)Зимний лес 0,9",3.760024754470401,1.6536275714591657,63.62242186032099,60.131911689424214,-0.17961560924561604
"(не_исп)Кекс Кулич ""Добрынинский"" творожный 0,33",148.71854610298752,8.9240307833841,59.287436000989565,42.20825370519508,0.6248348044148277
"(не_исп)Кекс Кулич Добрынинский 0,45 кг",569.9229246265052,10.31347564125736,58.03087331038186,66.75388764567872,0.0498869718945143
"(не_исп)Кекс Кулич Добрынинский творожный 0,33 кг",424.2083182790267,8.537120755791282,61.28863298762231,60.71659158213628,0.45209624595756837
"(не_исп)Кекс Кулич Пасхальный ""Добрынинский"" 0,4",130.9983585016258,5.775902215824066,67.69914434610425,56.86121352365661,0.453757393454306
"(не_исп)Кекс Кулич Пасхальный Добрынинский 0,4 кг",27.466665208972465,4.344080713396519,93.22259343118915,57.92107617862025,-0.4648888111451981
"(не_исп)Корз. мини с варен. сгущ. и минд. лепест в уп. 0,140",0.927931426919552,0.7023929545767781,42.096414688595544,42.9304425284983,-0.006980743106326459
"(не_исп)Креп де Пари шоколадный 1,0",0.3636924153210035,0.4442407004480897,30.08785551665029,33.17747003346493,0.11405647464491742
"(не_исп)Мадонна 0,5",0.14078192344386936,0.25842900537654584,19.422456406788164,22.318868646156233,0.16227020280378845
"(не_исп)Мусс тропический 1,0",0.626897983565514,0.4432396429086215,27.729511092215475,33.17817210076231,0.07292205408995567
"(не_исп)Ночные грёзы 0,9",0.7326379218253063,0.5680670143086354,36.49195754478212,38.46024082059946,0.0999794284075256
"(не_исп)Пирожное Сочинское 0,22",0.3621958276032202,0.4580030369070306,30.33415603717146,33.89739990667853,0.008353127393289306
(не_исп)Пражский 1.0,0.6820387659743883,0.5470460795620504,33.73792039918544,37.41292153326666,0.0939633241122595
"(не_исп)Рулет с клубничным джемом 0,5",0.09615469597333541,0.2130992400461308,17.90929406021896,19.810733371122712,-0.19062752159457452
"(не_исп)Сосиска в сл. тесте ""Добрынинская"" 0,1",17.189426966297724,2.876889938569424,61.44733039659292,40.79065115095939,0.33673105072828846
"(не_исп)Сосиска в тесте ""Добрынинская"" 0,11",19.74838208959552,3.199808567311493,41.80783834143727,30.88110937651749,0.4865871548927667
"(не_исп)Сочник с творожной начинкой 0,08",53.0930366850105,5.410428837667589,32.64292368706674,23.814474075550798,0.6455428819237236
"(не_исп)Шоколадно- кофейный 1,1",0.12502888179538516,0.23158125408564864,18.599648873065888,21.01633346326407,-0.06859809548351192
"(не_исп.)Кекс Кулич ""Добрынинский"" 0,45",53.660765771239866,4.323606394451295,75.62490231538513,44.889902456051686,0.7060464879602792
"ALPEN MILK молочный шоколад, 100г",4.338356351813456,0.7679903594611297,27.284297026843397,46.07942156766779,-0.027505451745292175
"ALPINE MILK CHOCOLATE WITH HAZELNUTS молочный шоколад с обжаренным фундуком, 100г",0.1631618491557395,0.2515816465461489,18.145413503394415,21.803742700666234,0.10083633128304448
"Amidis, ""Тропический микс"", манго, папайя, ананас, 113 г.",0.7300568038901695,0.5279158673151381,29.11393144966072,37.06643323702033,-0.09207672999504757
"Amidis, Ананас сушеный (кольца), 113 г.",0.4081946339535108,0.347357743806773,22.356830054445783,28.2228166843003,-0.03892911352625483
"Amidis, Кешью жареный, 113 г.",0.2362761805599713,0.23545221157401974,14.726728425996699,20.334509181392615,0.008189521137795142
"Amidis, Кешью, 113 г.",0.3385673449936112,0.36421456314637973,24.128427785588023,29.592433255643353,-0.021747880427147814
"Amidis, Кумкват в сахаре, 113 г.",0.09899546362493096,0.23920447948335055,19.25581171041974,21.348356771094725,0.06578116587376803
"Amidis, Манго сушеное (лист), 113 г.",0.10605890559401389,0.21490234681136622,16.22596073618529,19.166966066959688,0.00432630869068007
"Amidis, Миндаль жареный очищенный, 113 г.",0.16135075813007682,0.18686026895948032,12.795340612188438,16.934211874452902,0.002235385386804567
