Номенклатура,Код,Период,ФактПродаж,Предсказание,Фактический заказ,Предсказанный заказ,SafetyStock
Сэндвич с индейкой 195г,Э5932748   ,2025-07-08 - 2025-07-14,4,12,4,17,5
"Мини пирожки ""Добрынинские"" с курицей 0,15 уп.",УПП98462855,2025-07-08 - 2025-07-14,2,9,0,13,4
Каша пшённая на молоке 300г БЗМЖ,УП-00001441,2025-07-08 - 2025-07-14,5,7,4,11,4
"Слоен.труб.с белк.кр. и ч/смор. дж. в уп. 0,105",УП-00004108,2025-07-08 - 2025-07-14,2,8,0,12,4
"Йогурт фруктовый с наполн.Клубника 300г мдж 3,5% БЗМЖ",Э5932638   ,2025-07-08 - 2025-07-14,4,8,3,11,3
Сэндвич с ветчиной и сыром 200г,УП-00004069,2025-07-08 - 2025-07-14,2,10,2,16,6
Шоколад Бабаевский с пом-слив нач 50 г,Э5934077   ,2025-07-08 - 2025-07-14,8,12,0,19,7
КОФЕ КАПУЧИНО 450  мл К,Э5571179   ,2025-07-08 - 2025-07-14,32,65,0,85,20
Самса из курицы 150г,УП-00003073,2025-07-08 - 2025-07-14,14,27,18,23,10
Печенье Туиль с кунжутом 160г,УП-00001371,2025-07-08 - 2025-07-14,3,9,0,13,4
Пирожное Мандарин в апельсине 105г,Э5929957   ,2025-07-08 - 2025-07-14,5,15,4,20,6
"Ночка 0,5кг",00000004095,2025-07-08 - 2025-07-14,1,8,0,13,5
Творог м.д.ж. 9% 350г БЗМЖ,РЭ-00000018,2025-07-08 - 2025-07-14,3,8,1,11,3
Козинаки Дети солнца 300гр,Э5433777   ,2025-07-08 - 2025-07-14,2,11,0,16,5
"Кекс ""Добрынинский"" 0,5 кг",УП-00001945,2025-07-08 - 2025-07-14,3,16,0,23,7
"Бисквитно-кремовый 0,5кг",00000004053,2025-07-08 - 2025-07-14,2,9,2,13,4
"Картошка медовая в уп. 0,24",УП-00004460,2025-07-08 - 2025-07-14,6,14,9,20,6
"Добрынинская птичка 0,9",УП-00003387,2025-07-08 - 2025-07-14,2,10,0,14,4
"Жев. рез. Орбит Белоснежный BUBBLEMINT13,6г",УП-00001829,2025-07-08 - 2025-07-14,1,11,0,16,5
КОФЕ АМЕРИКАНО 350  мл К,Э5571170   ,2025-07-08 - 2025-07-14,1,15,0,20,5
Воздушное с кремом в уп. 0.18,00000004009,2025-07-08 - 2025-07-14,4,11,4,15,4
КОФЕ КАПУЧИНО 350  мл К,Э5571172   ,2025-07-08 - 2025-07-14,46,82,0,114,32
Шоколадный батончик  Cadbury Wispa 36 г,Э5932936   ,2025-07-08 - 2025-07-14,4,15,0,20,5
"Малиновый 0,92",УПП98466147,2025-07-08 - 2025-07-14,1,8,1,11,3
"Наполеон с зав. кр.""Патиссьер"" 0.09",УПП98465608,2025-07-08 - 2025-07-14,3,12,0,18,6
"Шоколадная колбаса с орехом, 300 г",УП-00002923,2025-07-08 - 2025-07-14,5,12,0,16,4
Оладьи куриные с гречкой 250гр,УП-00003203,2025-07-08 - 2025-07-14,3,8,3,12,4
пирож. Миндальное 195гр.в уп.,10068878   ,2025-07-08 - 2025-07-14,6,18,12,26,8
Донат глазир.Карамель с начинкой со вкусом карамели 67г (не использовать),Э5930797   ,2025-07-08 - 2025-07-14,2,20,0,26,6
Колбаса Телячья вареная вес (порц. в/у) 15285,Э5899282   ,2025-07-08 - 2025-07-14,0,2,0,3,1
"Эльфи 2,0",УПП98464989,2025-07-08 - 2025-07-14,1,7,0,10,3
"Молоко питьевое пастер. 2,5% 900 мл БЗМЖ",УП-00004017,2025-07-08 - 2025-07-14,4,8,0,12,4
"Мини пирожное ""Ассорти"" (мед.-шок.) 0,345",УП-00005028,2025-07-08 - 2025-07-14,10,11,9,17,6
"Напиток ""VI FRESH"" Дюшес 0,5л",УП-00000865,2025-07-08 - 2025-07-14,4,8,0,12,4
"Домашний медовик 0,5",УП-00004087,2025-07-08 - 2025-07-14,1,7,0,11,4
Н-р конф Москва 200 г,Э5468085   ,2025-07-08 - 2025-07-14,1,9,0,13,4
"Смородинка 0,75",УП-00001553,2025-07-08 - 2025-07-14,2,8,0,11,3
Брауни  90 г,Э15686798  ,2025-07-08 - 2025-07-14,10,19,8,26,7
Йогурт термостатный Вишня-Брусника 160 г БЗМЖ,УП-00003381,2025-07-08 - 2025-07-14,2,9,0,13,4
"Мусс Три вкуса Добрынинский Де-Люкс 0,92",УП-00004203,2025-07-08 - 2025-07-14,1,7,0,11,4
Вода ARGIL AQUA без газ 1л,УП-00002567,2025-07-08 - 2025-07-14,7,12,0,18,6
