Номенклатура,RMSE,MAE,MAPE,wMAPE,R2
"(не_исп)Ватрушка сл. «Добрынинская» с твор. нач. и лим. 0,1",0.7553520614833403,0.8691099248560796,21.72774812140199,21.72774812140199,
"Amidis, Манго сушеное (лист), 113 г.",0.010357439297913091,0.09434030152566268,9.434030152566269,9.434030152566269,0.0
"Amidis, Финики с косточкой ""Иранские"" сушены, 113 г.",0.03875604185730906,0.1951137194180003,19.51137194180003,19.51137194180003,0.0
"АШТАУ лечебно-столовая минеральная вода 0,5 л",0.014522507370673786,0.11308575222462022,11.308575222462022,11.308575222462022,0.0
"Абрикосовый аромат 0,4кг",0.4111891362086507,0.44687512767876597,28.562334707076538,33.348890125281045,0.03112833127085135
"Абрикосовый аромат 0,8кг",0.14441363597761994,0.2606795120482863,21.02452520006435,23.371266597432566,0.19319324032337937
Айран «Турецкий» 2% 500г БЗМЖ,0.2933548193632154,0.3459263242377528,23.078597456720885,28.30306289217978,-0.03311914645306291
"Айран «Турецкий» с укропом, петрушкой, чесноком 1,5% 500г БЗМЖ",0.21503607327470947,0.36796993944951567,25.212934428795208,28.619884179406775,-0.05367675904607627
Альтернативное молоко Кокос 1 л,0.058171429208742506,0.23385559232450853,23.385559232450852,23.385559232450852,0.0
Альтернативное молоко Кокос-Банан 1 л,0.02282714738400418,0.14053795439852745,14.053795439852745,14.053795439852745,0.0
Альтернативное молоко Миндаль 1 л,0.023673959248692217,0.15224526218461445,15.224526218461445,15.224526218461445,0.0
"Апельсиновая карамель 0,48",0.05025067501523495,0.1614785754027221,14.75851175273225,15.658528523900324,-0.6598932650193736
"Апельсиновый сок VI NATURE 0,75 л",0.09297570995591715,0.209177940044402,16.835111571003747,19.17464450407018,-0.12500609046659772
"Ассорти 4 вкуса 0,88",0.7220860383338752,0.600488843876332,34.2161881691538,39.19857730859389,0.04941116884414187
БАУРСАК Бахетле 250 г,0.19258355090053256,0.37804868796051333,27.595617779590253,29.268285519523612,0.06783087967473334
БЕЛЕВСКАЯ пастила БЕЗ САХАРА Классическая 180 г,0.13905329536287978,0.2524148434442367,17.71065069169081,21.35817906066618,0.06525284783841934
Баварские колбаски с макаронами и соусом 300 г,0.08568242321651126,0.16019389717563057,12.420226486100775,14.72052028100389,-0.06504173374502176
Баклажаны-рулетики 300г,0.02856036027734198,0.1275643712014477,10.651315192857833,11.69340069346604,0.654419640644162
Батончик Кит Кат из мол. шоколада с хрустящей вафлей 40г,1.261008329476718,0.8692342897740085,49.04594481805823,41.23290861748502,-0.07091836417718778
